arret_id,arret_nom,arret_suiv_id,arret_type,ligne_id,arret_latitude,arret_longitude
151,Dispensaire Messerghine,149,2,12,35.612300,-0.740161
150,Dispensaire Messerghine,152,1,12,35.612376,-0.740217
149,Messerghine,147,2,12,35.621000,-0.721343
148,Messerghine,150,1,12,35.621100,-0.721375
152,Hai Rabah,151,0,12,35.621226,-0.752309
1,Les Amandiers,646,0,3,35.676400,-0.678889
3,Piti,648,1,3,35.676800,-0.665003
4,Piti,647,2,3,35.677000,-0.664781
5,Maraval,7,1,3,35.675600,-0.652247
6,Maraval,649,2,3,35.675810,-0.649280
7,CEM Cherfaoui,9,1,3,35.679410,-0.642709
8,CEM Cherfaoui,6,2,3,35.679300,-0.643628
9,Mediouni,11,1,3,35.680400,-0.640529
10,Mediouni,8,2,3,35.680410,-0.640842
11,Stade Ahmed Zabana,13,1,3,35.681900,-0.636460
12,Stade Ahmed zabana,10,2,3,35.682110,-0.637284
13,Manege Hamri,15,1,3,35.682900,-0.634537
14,Manege Hamri,12,2,3,35.682800,-0.634341
15,Victor Hugo,18,1,3,35.684800,-0.630187
16,Victor Hugo,14,2,3,35.684210,-0.631088
18,Bastie,20,1,3,35.685300,-0.623739
19,Bastie,16,2,3,35.685400,-0.623647
20,Les Castors,22,1,3,35.692410,-0.618482
21,Les Castors,19,2,3,35.692000,-0.619050
22,Rond-Point Dar El Beida,24,1,3,35.696310,-0.614006
23,Rond-Point Dar El Beida,21,2,3,35.696001,-0.614511
62,idaa,64,1,8,35.696410,-0.631060
63,idaa,61,2,8,35.696210,-0.630780
64,Casoran CNAS,66,1,8,35.694300,-0.631876
65,Casoran CNAS,63,2,8,35.694900,-0.631116
66,Plateau,68,1,8,35.693020,-0.637665
67,Plateau,65,2,8,35.692900,-0.635882
68,Chakouri,67,0,8,35.690710,-0.642240
72,Lycé El Hayat,74,0,1,35.698910,-0.646996
74,Musée Ahmad Zabana,76,1,1,35.696002,-0.645622
75,Musée Ahmad Zabana,72,2,1,35.695710,-0.645480
76,Place Roux,78,1,1,35.692500,-0.644924
77,Place Roux,75,2,1,35.693488,-0.645034
78,El Hamri,802,1,1,35.685210,-0.640050
79,El Hamri,77,2,1,35.684889,-0.639620
80,Cité Emir Abdelkader,82,1,1,35.671100,-0.628397
81,Cité Emir Abdelkader,803,2,1,35.671400,-0.628281
